Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,MasVnrArea_not_missing,MasVnrArea_times_not_missing,GarageYrBlt_not_missing,GarageYrBlt_times_not_missing,LogLotArea,LogBsmtFinSF1,LogBsmtFinSF2,LogBsmtUnfSF,LogTotalBsmtSF,Log1stFlrSF,Log2ndFlrSF,LogLowQualFinSF,LogGrLivArea,LogGarageArea,LogWoodDeckSF,LogOpenPorchSF,LogEnclosedPorch,Log3SsnPorch,LogScreenPorch,LogPoolArea,LogMiscVal,LogSalePrice,LogMasVnrArea_times_not_missing
315,70,RM,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1925,1990,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Gd,No,LwQ,16,Unf,0,712,728,GasA,Ex,Y,SBrkr,832,809,0,1641,0,1,1,1,3,1,Ex,6,Typ,1,Gd,Detchd,1925.0,Unf,2,546,Fa,TA,Y,0,0,234,0,0,0,Missing,Missing,Missing,0,8,2006,WD,Normal,178000,True,0.0,True,1925.0,9.169622538697624,2.833213344056216,0.0,6.569481420414296,6.591673732008658,6.725033642166843,6.697034247666484,0.0,7.403670290012373,6.304448802421981,0.0,0.0,5.459585514144159,0.0,0.0,0.0,0.0,12.089538829274222,0.0
316,60,RL,7795,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,425,Unf,0,291,716,GasA,Ex,Y,SBrkr,716,716,0,1432,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2004.0,Fin,2,432,TA,TA,Y,100,51,0,0,0,0,Missing,Missing,Missing,0,7,2009,WD,Normal,188500,True,0.0,True,2004.0,8.961366060627451,6.054439346269371,0.0,5.676753802268282,6.57507584059962,6.57507584059962,6.57507584059962,0.0,7.267525427828172,6.07073772800249,4.61512051684126,3.9512437185814275,0.0,0.0,0.0,0.0,0.0,12.146853285870202,0.0
317,60,RL,13005,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1980,1980,Gable,CompShg,CemntBd,CmentBd,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,692,Unf,0,153,845,GasA,TA,Y,SBrkr,1153,1200,0,2353,1,0,2,1,4,1,Ex,10,Typ,1,TA,Attchd,1983.0,RFn,2,484,TA,TA,Y,288,195,0,0,0,0,Missing,GdPrv,Missing,0,8,2009,WD,Normal,260000,True,278.0,True,1983.0,9.473166068429098,6.541029999189903,0.0,5.0369526024136295,6.740519359606223,7.050989447068045,7.0909098220799835,0.0,7.763871287820222,6.184148890937483,5.666426688112432,5.278114659230517,0.0,0.0,0.0,0.0,0.0,12.468436909997665,5.631211781821365
318,60,FV,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1088,1088,GasA,Ex,Y,SBrkr,1088,871,0,1959,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,3,1025,TA,TA,Y,208,46,0,0,0,0,Missing,Missing,Missing,0,12,2007,WD,Normal,270000,True,0.0,True,2006.0,9.105090961257085,0.0,0.0,6.9930151229329605,6.9930151229329605,6.9930151229329605,6.77078942390898,0.0,7.580699752224563,6.933423025730715,5.342334251964811,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,12.506177237980511,0.0
319,60,RL,9900,Pave,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987,Unf,0,360,1347,GasA,Ex,Y,SBrkr,1372,1274,0,2646,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993.0,RFn,3,656,TA,TA,Y,340,60,144,0,0,0,Missing,Missing,Missing,0,4,2009,WD,Normal,260000,True,256.0,True,1993.0,9.200391041122515,6.895682697747868,0.0,5.8888779583328805,7.206377291472252,7.224753405767971,7.150701457592526,0.0,7.881182202227102,6.48768401848461,5.831882477283517,4.110873864173311,4.976733742420574,0.0,0.0,0.0,0.0,12.468436909997665,5.54907608489522
320,80,RL,14115,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,5,1980,1980,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1036,Unf,0,336,1372,GasA,TA,Y,SBrkr,1472,0,0,1472,1,0,2,0,3,1,TA,6,Typ,2,TA,Attchd,1980.0,Unf,2,588,TA,TA,Y,233,48,0,0,0,0,Missing,Missing,Missing,0,6,2009,WD,Normal,187500,True,225.0,True,1980.0,9.55506418479516,6.9440872082295275,0.0,5.820082930352362,7.224753405767971,7.29505641646263,0.0,0.0,7.29505641646263,6.3784261836515865,5.455321115357702,3.8918202981106265,0.0,0.0,0.0,0.0,0.0,12.141534124392603,5.420534999272286
321,60,RL,16259,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,370.0,TA,TA,PConc,Ex,Gd,Av,Unf,0,Unf,0,1249,1249,GasA,Ex,Y,SBrkr,1249,1347,0,2596,0,0,3,1,4,1,Gd,9,Typ,0,Missing,Attchd,2006.0,RFn,3,840,TA,TA,Y,240,154,0,0,0,0,Missing,Missing,Missing,0,9,2006,New,Partial,342643,True,370.0,True,2006.0,9.696463383101802,0.0,0.0,7.1308988302963465,7.1308988302963465,7.1308988302963465,7.206377291472252,0.0,7.862112211662748,6.734591659972948,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,0.0,12.7444443677961,5.916202062607435
322,60,RL,12099,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,388.0,Gd,TA,PConc,Ex,TA,Av,GLQ,970,Unf,0,166,1136,GasA,Ex,Y,SBrkr,1136,1332,0,2468,1,0,2,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,2004.0,Fin,3,872,TA,TA,Y,184,154,0,0,0,0,Missing,Missing,Missing,0,6,2007,WD,Normal,354000,True,388.0,True,2004.0,9.400960731584833,6.878326468291325,0.0,5.117993812416755,7.036148493750536,7.036148493750536,7.195187320178709,0.0,7.81156848934518,6.771935555839602,5.220355825078324,5.043425116919247,0.0,0.0,0.0,0.0,0.0,12.777052192115912,5.963579343618446
323,60,RL,10380,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1986,1987,Gable,CompShg,Plywood,Plywood,BrkFace,172.0,Gd,TA,CBlock,TA,TA,Gd,LwQ,28,ALQ,1474,0,1502,GasA,Ex,Y,SBrkr,1553,1177,0,2730,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1987.0,Fin,2,576,TA,TA,Y,201,96,0,0,0,0,Missing,MnPrv,Missing,0,8,2007,WD,Normal,301000,True,172.0,True,1987.0,9.247732491193245,3.367295829986474,7.29641326877392,0.0,7.315218389752975,7.348587530927593,7.071573364211532,0.0,7.912423121473705,6.3578422665081,5.308267697401205,4.574710978503383,0.0,0.0,0.0,0.0,0.0,12.614865543731012,5.153291594497779
324,20,RM,5820,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,256,Unf,0,906,1162,GasA,Ex,Y,SBrkr,1163,0,0,1163,1,0,1,0,3,1,TA,6,Typ,0,Missing,Attchd,1955.0,Unf,1,220,Fa,TA,Y,142,98,0,0,0,0,Missing,Missing,Missing,0,7,2006,WD,Normal,126175,True,0.0,True,1955.0,8.669227347271736,5.54907608489522,0.0,6.810142450115136,7.0587581525186645,7.059617628291383,0.0,0.0,7.059617628291383,5.3981627015177525,4.962844630259907,4.59511985013459,0.0,0.0,0.0,0.0,0.0,11.745425111208464,0.0
325,80,RL,11275,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,PosN,Norm,1Fam,SLvl,7,7,1967,2007,Mansard,WdShake,Wd Sdng,Wd Sdng,BrkFace,300.0,Gd,Gd,CBlock,Gd,TA,No,Unf,0,Unf,0,710,710,GasA,Ex,Y,SBrkr,1898,1080,0,2978,0,0,2,1,5,1,Gd,11,Typ,1,Gd,BuiltIn,1961.0,Fin,2,564,TA,TA,Y,240,0,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD,Normal,242000,True,300.0,True,1961.0,9.330431852234003,0.0,0.0,6.566672429803241,6.566672429803241,7.549082710812286,6.985641817639208,0.0,7.999342952713282,6.336825731146441,5.484796933490655,0.0,0.0,0.0,0.0,0.0,0.0,12.396693005138824,5.707110264748875
326,45,RM,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,116,Unf,0,604,720,GasA,Po,N,FuseF,803,0,0,803,0,0,1,0,2,1,TA,5,Typ,0,Missing,Detchd,1941.0,Unf,2,360,TA,TA,Y,0,0,244,0,0,0,Missing,Missing,Missing,0,12,2007,WD,Normal,87000,True,0.0,True,1941.0,8.517393171418904,4.762173934797756,0.0,6.405228458030842,6.580639137284949,6.6895992691789665,0.0,0.0,6.6895992691789665,5.8888779583328805,0.0,0.0,5.501258210544727,0.0,0.0,0.0,0.0,11.37366339763672,0.0
327,120,RL,10846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1619,Unf,0,100,1719,GasA,Ex,Y,SBrkr,1719,0,0,1719,2,0,1,1,1,1,Gd,6,Typ,2,Gd,Attchd,1993.0,Fin,2,473,TA,TA,Y,122,30,0,0,0,0,Missing,Missing,Missing,0,5,2008,Con,Normal,324000,True,0.0,True,1993.0,9.291643823040218,7.3901814282264295,0.0,4.61512051684126,7.450079569807499,7.450079569807499,0.0,0.0,7.450079569807499,6.161207321695077,4.812184355372417,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,12.688498794774466,0.0
328,20,RL,11600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,TA,No,Rec,565,Unf,0,818,1383,GasA,TA,Y,SBrkr,1383,0,0,1383,0,0,1,1,3,1,TA,7,Typ,0,Missing,Attchd,1960.0,RFn,1,292,TA,TA,Y,0,45,0,0,0,0,Missing,Missing,Missing,0,4,2006,WD,Normal,145250,True,175.0,True,1960.0,9.358846580275406,6.338594078203183,0.0,6.70808408385307,7.232733136177615,7.232733136177615,0.0,0.0,7.232733136177615,5.680172609017068,0.0,3.828641396489095,0.0,0.0,0.0,0.0,0.0,11.886211674714158,5.170483995038151
329,75,RL,11888,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,844,844,GasA,Gd,N,FuseA,1445,689,0,2134,0,0,2,0,5,1,Gd,10,Typ,0,Missing,Detchd,1930.0,Unf,2,441,TA,TA,Y,0,60,268,0,0,0,Missing,Missing,Missing,0,7,2009,WD,Normal,214500,True,0.0,True,1930.0,9.383368881858544,0.0,0.0,6.739336627357174,6.739336627357174,7.27655640271871,6.536691597591305,0.0,7.666221925662725,6.091309882077698,0.0,4.110873864173311,5.594711379601839,0.0,0.0,0.0,0.0,12.27606501735021,0.0
330,70,RM,6402,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,0,596,596,GasA,TA,N,SBrkr,596,596,0,1192,0,0,1,0,3,1,TA,6,Typ,0,Missing,Detchd,1920.0,Unf,1,189,Fa,Fa,N,0,0,137,0,0,0,Missing,GdWo,Missing,0,7,2009,WD,Normal,78000,True,0.0,True,1920.0,8.764521909518802,0.0,0.0,6.391917113392602,6.391917113392602,6.391917113392602,6.391917113392602,0.0,7.084226422097916,5.247024072160486,0.0,0.0,4.927253685157205,0.0,0.0,0.0,0.0,11.26446410567173,0.0
331,90,RL,10624,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,84.0,TA,TA,CBlock,TA,TA,No,GLQ,40,Rec,264,1424,1728,GasA,TA,Y,SBrkr,1728,0,0,1728,0,1,2,0,6,2,TA,10,Typ,0,Missing,Detchd,2002.0,Unf,1,352,TA,TA,Y,155,0,0,0,0,0,Missing,Missing,Missing,0,11,2007,WD,Normal,119000,True,84.0,True,2002.0,9.270964993792617,3.713572066704308,5.579729825986222,7.261927092702751,7.455298485683291,7.455298485683291,0.0,0.0,7.455298485683291,5.8664680569332965,5.049856007249537,0.0,0.0,0.0,0.0,0.0,0.0,11.686878772093667,4.442651256490317
332,20,RL,8176,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,846,Unf,0,210,1056,GasA,Fa,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,0,Missing,Attchd,1958.0,RFn,1,308,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,8,2007,WD,Normal,139000,True,0.0,True,1958.0,9.009080614161977,6.741700694652055,0.0,5.351858133476067,6.963189985870238,6.963189985870238,0.0,0.0,6.963189985870238,5.733341276897746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.842229212112828,0.0
333,20,RL,10655,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,296.0,Gd,TA,PConc,Gd,TA,No,GLQ,1124,Unf,479,1603,3206,GasA,Ex,Y,SBrkr,1629,0,0,1629,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003.0,RFn,3,880,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,10,2009,WD,Normal,284000,True,296.0,True,2003.0,9.273878392780171,7.025538314638521,6.173786103901937,7.38025578842646,8.073091199693154,7.396335293800808,0.0,0.0,7.396335293800808,6.78105762593618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.556729517143344,5.6937321388027
334,120,RM,8198,Pave,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,720,Unf,0,638,1358,GasA,Ex,Y,SBrkr,1358,0,0,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004.0,RFn,2,484,TA,TA,Y,192,30,0,0,0,0,Missing,Missing,Missing,0,7,2008,WD,Normal,207000,True,146.0,True,2004.0,9.011767474596178,6.580639137284949,0.0,6.459904454377535,7.214504414151143,7.214504414151143,0.0,0.0,7.214504414151143,6.184148890937483,5.262690188904886,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,12.240474072247506,4.990432586778736
335,60,RL,9042,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,828,Unf,0,115,943,GasA,Gd,Y,SBrkr,943,695,0,1638,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1998.0,Fin,2,472,TA,TA,Y,100,38,0,0,0,0,Missing,Missing,Missing,0,7,2008,WD,Normal,192000,True,0.0,True,1998.0,9.10974625674048,6.720220155135295,0.0,4.7535901911063645,6.8501261661455,6.8501261661455,6.54534966033442,0.0,7.40184157874383,6.159095388491933,4.61512051684126,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,12.165250651009918,0.0
336,190,RL,164660,Grvl,IR1,HLS,AllPub,Corner,Sev,Timber,Norm,Norm,2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,1249,BLQ,147,103,1499,GasA,Ex,Y,SBrkr,1619,167,0,1786,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attchd,1965.0,Fin,2,529,TA,TA,Y,670,0,0,0,0,0,Missing,Missing,Shed,700,8,2008,WD,Normal,228950,True,0.0,True,1965.0,12.011644093954345,7.1308988302963465,4.997212273764115,4.6443908991413725,7.313220387090301,7.3901814282264295,5.123963979403259,0.0,7.488293515159428,6.272877006546167,6.508769136971682,0.0,0.0,0.0,0.0,0.0,6.55250788703459,12.341258918085241,0.0
337,20,RL,14157,Pave,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1249,Unf,0,673,1922,GasA,Ex,Y,SBrkr,1922,0,0,1922,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2005.0,Fin,3,676,TA,TA,Y,178,51,0,0,0,0,Missing,Missing,Missing,0,7,2007,WD,Normal,377426,True,200.0,True,2005.0,9.558035114334135,7.1308988302963465,0.0,6.513230110912307,7.56164174558878,7.56164174558878,0.0,0.0,7.56164174558878,6.517671272912275,5.187385805840755,3.9512437185814275,0.0,0.0,0.0,0.0,0.0,12.841129801965447,5.303304908059076
338,20,RL,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810,Unf,0,726,1536,GasA,Ex,Y,SBrkr,1536,0,0,1536,1,0,2,0,3,1,Gd,7,Typ,0,Missing,Attchd,2002.0,RFn,2,532,TA,TA,Y,192,74,0,0,0,0,Missing,Missing,Missing,0,12,2008,WD,Normal,214000,True,113.0,True,2002.0,9.119977931895791,6.698268054115413,0.0,6.588926477533519,7.337587743538596,7.337587743538596,0.0,0.0,7.337587743538596,6.278521424165844,5.262690188904886,4.31748811353631,0.0,0.0,0.0,0.0,0.0,12.273731294003989,4.736198448394496
339,20,RL,14145,Pave,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,213,Unf,0,995,1208,GasA,Ex,Y,SBrkr,1621,0,0,1621,1,0,2,0,3,1,Gd,8,Typ,0,Missing,Attchd,1984.0,RFn,2,440,TA,TA,Y,108,45,0,0,0,0,Missing,Missing,Shed,400,5,2006,WD,Normal,202500,True,0.0,True,1984.0,9.557187177595935,5.365976015021851,0.0,6.903747257584598,7.097548850614793,7.3914152346753585,0.0,0.0,7.3914152346753585,6.089044875446846,4.6913478822291435,3.828641396489095,0.0,0.0,0.0,0.0,5.993961427306569,12.218495165528731,0.0
340,20,RL,12400,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,TA,TA,CBlock,TA,Fa,No,Rec,585,Unf,0,630,1215,GasA,TA,Y,FuseA,1215,0,0,1215,0,0,1,0,3,1,TA,6,Typ,0,Missing,Attchd,1958.0,Unf,1,297,TA,TA,Y,0,0,0,0,234,0,Missing,Missing,Missing,0,6,2009,WD,Normal,155000,True,176.0,True,1958.0,9.425532393502772,6.373319789577012,0.0,6.447305862541213,7.103322062526113,7.103322062526113,0.0,0.0,7.103322062526113,5.697093486505405,0.0,0.0,0.0,0.0,5.459585514144159,0.0,0.0,11.951180395901384,5.176149732573829
341,60,RL,14191,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,967,967,GasA,Ex,Y,SBrkr,993,915,0,1908,0,0,2,1,4,1,Gd,9,Typ,0,Missing,Attchd,2002.0,Fin,2,431,TA,TA,Y,135,0,0,0,0,0,Missing,Missing,Missing,0,4,2010,WD,Normal,202900,True,0.0,True,2002.0,9.56043370454936,0.0,0.0,6.875232087276577,6.875232087276577,6.901737206656574,6.82001636467413,0.0,7.554334823725748,6.068425588244111,4.912654885736052,0.0,0.0,0.0,0.0,0.0,0.0,12.220468525813907,0.0
342,20,RH,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,721,721,GasA,Gd,Y,SBrkr,841,0,0,841,0,0,1,0,2,1,TA,4,Typ,0,Missing,CarPort,1950.0,Unf,1,294,TA,TA,N,250,0,24,0,0,0,Missing,Missing,Missing,0,9,2009,WD,Normal,82000,True,0.0,True,1950.0,9.036106025364846,0.0,0.0,6.582025138892826,6.582025138892826,6.7357800142423265,0.0,0.0,6.7357800142423265,5.68697535633982,5.5254529391317835,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,11.314474526246391,0.0
343,90,RL,8544,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,TA,TA,Slab,Missing,Missing,Missing,Unf,0,Unf,0,0,0,Wall,Fa,N,FuseA,1040,0,0,1040,0,0,2,0,2,2,TA,6,Typ,0,Missing,Detchd,1949.0,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,5,2006,WD,Normal,87500,True,340.0,True,1949.0,9.053101595549691,0.0,0.0,0.0,0.0,6.947937068614969,0.0,0.0,6.947937068614969,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.379394072345706,5.831882477283517
344,120,RL,8849,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,Ex,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1656,1684,GasA,Ex,Y,SBrkr,1684,0,0,1684,0,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2005.0,RFn,2,564,TA,TA,Y,495,72,0,0,0,0,Missing,Missing,Missing,0,7,2008,WD,Normal,266000,True,616.0,True,2005.0,9.088172738001974,3.367295829986474,0.0,7.4127640174265625,7.429520842786462,7.429520842786462,0.0,0.0,7.429520842786462,6.336825731146441,6.206575926724928,4.290459441148391,0.0,0.0,0.0,0.0,0.0,12.491251587763836,6.424869023905388
345,160,RM,2592,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,129,BLQ,232,175,536,GasA,TA,Y,SBrkr,536,576,0,1112,0,0,1,1,3,1,TA,4,Typ,0,Missing,Attchd,1976.0,Unf,1,336,TA,TA,Y,182,0,0,0,0,0,Missing,Missing,Missing,0,4,2010,WD,Normal,85000,True,0.0,True,1976.0,7.860570785538664,4.867534450455582,5.4510384535657,5.170483995038151,6.285998094508865,6.285998094508865,6.3578422665081,0.0,7.014814351275545,5.820082930352362,5.209486152841421,0.0,0.0,0.0,0.0,0.0,0.0,11.350406535472453,0.0
346,50,RL,6435,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,972,972,GasA,Gd,Y,SBrkr,972,605,0,1577,0,0,1,0,3,1,Fa,6,Typ,1,Gd,Detchd,1939.0,Unf,1,312,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,10,2006,WD,Normal,140200,True,0.0,True,1939.0,8.769662508112274,0.0,0.0,6.880384082186005,6.880384082186005,6.880384082186005,6.406879986069314,0.0,7.363913501405819,5.746203190540153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.850825253582627,0.0
347,20,RL,12772,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1960,1998,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,498,Unf,0,460,958,GasA,TA,Y,SBrkr,958,0,0,958,0,0,1,0,2,1,TA,5,Typ,0,Missing,Attchd,1960.0,RFn,1,301,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Gar2,15500,4,2007,WD,Normal,151500,True,0.0,True,1960.0,9.455088847042777,6.212606095751519,0.0,6.133398042996649,6.8658910748834385,6.8658910748834385,0.0,0.0,6.8658910748834385,5.71042701737487,0.0,0.0,0.0,0.0,0.0,0.0,9.648659816955295,11.928340903931561,0.0
